Año,Trimestre,Provincia,Mbps (Media de bajada),Localidad
2020.0,4.0,Santiago Del Estero,1.128,Villa Brown
2020.0,4.0,Tierra Del Fuego,849.0,Villa San Luis
2020.0,4.0,Tucumán,3.644,Villa Santa Rosa
2020.0,3.0,Buenos Aires,4.838,Villa Vatteone
2020.0,3.0,Capital Federal,6.381,Blaquier
2020.0,3.0,Catamarca,3.654,Florentino Ameghino
2020.0,3.0,Chaco,3.08,Porvenir
2020.0,3.0,Chubut,740.0,Centinela Del Mar
2020.0,3.0,Córdoba,3.351,Comandante Nicanor Otamendi
2020.0,3.0,Corrientes,2.385,Mar del Sur
2020.0,3.0,Entre Ríos,2.243,Mechongué
2020.0,3.0,Formosa,1.828,Miramar
2020.0,3.0,Jujuy,2.191,General Alvear
2020.0,3.0,La Pampa,1.07,Arribeños
2020.0,3.0,La Rioja,1.219,Ascensión
2020.0,3.0,Mendoza,1.019,Ferré
2020.0,3.0,Misiones,2.414,General Arenales
2020.0,3.0,Neuquén,3.146,La Angelita
2020.0,3.0,Río Negro,2.108,La Trinidad
2020.0,3.0,Salta,2.526,General Belgrano
2020.0,3.0,San Juan,603.0,Gorchs
2020.0,3.0,San Luis,2.085,General Guido
2020.0,3.0,Santa Cruz,665.0,Labarden
2020.0,3.0,Santa Fe,2.569,General Juan Madariaga
2020.0,3.0,Santiago Del Estero,1.088,General La Madrid
2020.0,3.0,Tierra Del Fuego,851.0,Las Martinetas
2020.0,3.0,Tucumán,3.484,General Las Heras  (Est. Las Heras)
2020.0,2.0,Buenos Aires,4.566,Lozano
2020.0,2.0,Capital Federal,6.048,Villars
2020.0,2.0,Catamarca,3.493,Chacras de San Clemente
2020.0,2.0,Chaco,2.795,General Lavalle
2020.0,2.0,Chubut,761.0,OTROS
2020.0,2.0,Córdoba,3.099,Pavón
2020.0,2.0,Corrientes,2.215,Loma Verde
2020.0,2.0,Entre Ríos,2.045,Ranchos
2020.0,2.0,Formosa,1.687,Villanueva  (Ap. Río Salado)
2020.0,2.0,Jujuy,1.586,Colonia San Ricardo  (Est. Iriarte)
2020.0,2.0,La Pampa,803.0,General Pinto
2020.0,2.0,La Rioja,1.167,Germania  (Est. Mayor José Orellano)
2020.0,2.0,Mendoza,927.0,Villa Francia  (Est. Coronel Granada)
2020.0,2.0,Misiones,2.256,Barrio Colinas Verdes
2020.0,2.0,Neuquén,2.91,Barrio El Boquerón
2020.0,2.0,Río Negro,1.968,Barrio El Casal
2020.0,2.0,Salta,2.256,Barrio El Coyunco
2020.0,2.0,San Juan,631.0,Barrio La Gloria
2020.0,2.0,San Luis,2.102,Barrio Santa Paula
2020.0,2.0,Santa Cruz,659.0,Batán
2020.0,2.0,Santa Fe,2.393,Camet
2020.0,2.0,Santiago Del Estero,1.041,Chapadmalal
2020.0,2.0,Tierra Del Fuego,813.0,El Marquesado
2020.0,2.0,Tucumán,3.27,Estación Chapadmalal
2020.0,1.0,Buenos Aires,4.518,Mar del Plata
2020.0,1.0,Capital Federal,5.871,OTROS
2020.0,1.0,Catamarca,2.913,Sierra de los Padres
2020.0,1.0,Chaco,2.594,Barrio Ruta 24 Kilómetro 10
2020.0,1.0,Chubut,712.0,General Rodríguez
2020.0,1.0,Córdoba,2.939,Barrio Parque General San Martin
2020.0,1.0,Corrientes,2.054,Billinghurst
2020.0,1.0,Entre Ríos,1.903,Ciudad Del Libertador General San Martin
2020.0,1.0,Formosa,1.57,Ciudad Jardin El Libertador
2020.0,1.0,Jujuy,1.414,OTROS
2020.0,1.0,La Pampa,729.0,Va Ma Irene De Los Remedios De Escalada
2020.0,1.0,La Rioja,796.0,Villa Ayacucho
2020.0,1.0,Mendoza,844.0,Villa Ballester
2020.0,1.0,Misiones,2.215,Villa Bernardo Monteagudo
2020.0,1.0,Neuquén,2.777,Villa Chacabuco
2020.0,1.0,Río Negro,1.906,Villa Coronel Jose M. Zapiola
2020.0,1.0,Salta,2.143,Villa General Antonio J.  De Sucre
2020.0,1.0,San Juan,604.0,Villa General Eugenio Necochea
2020.0,1.0,San Luis,2.099,Villa General Jose Tomas Guido
2020.0,1.0,Santa Cruz,642.0,Villa General Juan G. Las Heras
2020.0,1.0,Santa Fe,2.242,Villa Godoy Cruz
2020.0,1.0,Santiago Del Estero,1.0,Villa Granaderos De San Martín
2020.0,1.0,Tierra Del Fuego,741.0,Villa Gregoria Matorras
